id,datetime,game,earnings,players,tournaments
4336,2018-02-01,Dota 2,1470636.47,192,9
4337,2018-02-01,Counter-Strike: Global Offensive,891283.48,534,52
4338,2018-02-01,Rainbow Six Siege,513029.04,96,3
4339,2018-02-01,PLAYERUNKNOWN'S BATTLEGROUNDS,332411.4,132,5
4340,2018-02-01,Heroes of the Storm,281207.26,64,3
4341,2018-02-01,Madden NFL 2018,259000.0,32,1
4342,2018-02-01,StarCraft II,222986.67,77,34
4343,2018-02-01,Overwatch,202248.83,225,14
4344,2018-02-01,League of Legends,112339.52,141,12
4345,2018-02-01,Call of Duty: World War II,99797.43,40,8
4346,2018-02-01,Halo 5: Guardians,81500.0,55,6
4347,2018-02-01,Hearthstone,78830.0,67,8
4348,2018-02-01,World of WarCraft,40000.0,34,4
4349,2018-02-01,Rocket League,35528.83,95,14
4350,2018-02-01,Pokémon VGC,34500.0,41,3
4351,2018-02-01,Tekken 7,31500.0,3,1
4352,2018-02-01,Super Smash Bros. for Wii U,26538.64,96,20
4353,2018-02-01,WarCraft III,20835.59,26,15
4354,2018-02-01,Team Fortress 2,19889.27,78,3
4355,2018-02-01,Brawlhalla,15093.6,60,4
4356,2018-02-01,Super Smash Bros. Melee,14579.74,64,12
4357,2018-02-01,Fortnite,8690.78,12,1
4358,2018-02-01,NHL 18,7700.0,5,2
4359,2018-02-01,Paladins,7000.0,40,1
4360,2018-02-01,ARMS,2311.5,13,4
4361,2018-02-01,CrossFire,2282.23,24,5
4362,2018-02-01,Yu-Gi-Oh! Duel Links,2054.0,40,16
4363,2018-02-01,Project M,1940.0,16,3
4364,2018-02-01,Quake Champions,1550.0,8,2
4365,2018-02-01,Gwent,1320.0,11,2
4366,2018-02-01,Age of Empires II,1097.0,11,5
4367,2018-02-01,Faeria,800.0,5,2
4368,2018-02-01,TrackMania 2: Stadium,432.42,3,1
4369,2018-02-01,Super Smash Bros. Brawl,400.0,7,2
4370,2018-02-01,Age of Empires III,350.0,3,1
4371,2018-02-01,Super Smash Bros.,300.0,3,1
4372,2018-02-01,Dragon Ball FighterZ,105.0,1,1
4373,2018-02-01,Xonotic,48.99,16,1
4374,2018-02-01,Reflex,30.0,3,1
4375,2018-03-01,Counter-Strike: Global Offensive,3338799.38,756,61
4376,2018-03-01,Dota 2,3138584.99,279,14
4377,2018-03-01,StarCraft II,979611.52,108,32
4378,2018-03-01,League of Legends,517646.78,311,21
